Store,Date,Forecast,Lower_CI,Upper_CI
262,2013-01-29,16613.470931977514,14796.90131534175,18359.79615739997
262,2013-01-30,16499.705276955065,14629.994839887482,18311.537748271698
262,2013-01-31,16800.994339386565,14871.765591378831,18773.550920257872
262,2013-02-01,18770.253979933997,16764.77485423124,20676.218804578344
262,2013-02-02,17322.13141290569,15329.20600400617,19238.311562352188
262,2013-02-03,28371.630638030816,26401.880961564515,30250.300627613564
262,2013-02-04,21205.5147388534,19189.269357271794,23160.390070481444
262,2013-02-05,19780.89313583801,17890.519669140176,21796.450101519258
262,2013-02-06,19560.92768991531,17652.85838436819,21479.10101701516
262,2013-02-07,19760.331685535715,17866.66364657754,21719.757268653746
262,2013-02-08,21634.624806810265,19856.439416708625,23648.38948107119
262,2013-02-09,17207.33681021429,15179.11163157835,19192.921938669424
262,2013-02-10,28182.464225239637,26185.49428662764,30043.340844574584
262,2013-02-11,18058.766003227523,16269.430343316302,19955.06505490991
262,2013-02-12,16582.9043326897,14648.755657055617,18401.739145097217
262,2013-02-13,16325.390628977932,14318.367415922474,18269.28120912198
262,2013-02-14,16500.98802087524,14642.646055482486,18383.59524460851
262,2013-02-15,18365.151715798416,16295.11621540807,20234.131492999135
262,2013-02-16,16832.624890830793,14927.605346334616,18663.249398596963
262,2013-02-17,27823.655778083263,25829.817367037842,29755.780493663136
262,2013-02-18,20616.60699641228,18589.12285094197,22689.445136565184
262,2013-02-19,19174.735109990746,17309.346557547342,21015.42877013282
262,2013-02-20,18958.82014541,16964.63022528565,20941.663725980514
262,2013-02-21,19181.690733175485,17104.790716510597,21161.09321601115
262,2013-02-22,21097.07761334157,19152.7849064304,23094.128457885832
262,2013-02-23,16723.768493783326,14902.123181053583,18771.85027453627
262,2013-02-24,27768.97531311117,25855.958749026417,29881.89343731192
262,2013-02-25,17718.29650259752,15597.0390452443,19626.728189422218
262,2013-02-26,16323.555007377143,14446.191068347669,18394.284740138046
262,2013-02-27,16150.092907327398,14368.984784833003,18052.905369009903
262,2013-02-28,16409.45130476155,14378.38456800888,18401.99431954323
262,2013-03-01,18354.620150281422,16559.42232275014,20349.96122364234
262,2013-03-02,16896.38469347161,14922.776276982422,18763.11555044659
262,2013-03-03,27957.212778714795,26181.381246143224,29909.044339905493
262,2013-03-04,20805.117533793673,18965.75707743718,22729.88965662473
262,2013-03-05,19408.6428529465,17401.74117015224,21377.383622882502
262,2013-03-06,19226.397493623925,17220.03558946087,21073.130675342803
262,2013-03-07,19470.55652451566,17578.2609296834,21430.886063282014
262,2013-03-08,21395.234645504053,19570.704868705878,23359.91024095068
262,2013-03-09,17017.48765796914,15038.107134549055,18834.66892208756
262,2013-03-10,28051.463611588977,26126.552039488368,29913.760188905893
262,2013-03-11,17973.8871243292,16026.48461616214,19747.012584130036
262,2013-03-12,16546.437064633712,14648.514645505333,18464.77901921382
262,2013-03-13,16334.224165545318,14458.360851554002,18245.262046304317
262,2013-03-14,16550.579933890993,14592.955124345093,18402.425359855104
262,2013-03-15,18450.94995092613,16436.879597631603,20257.655438435704
262,2013-03-16,16946.832353816397,15096.032190244741,18992.673987784772
262,2013-03-17,27967.18901578804,26123.17539347447,29937.444597385376
262,2013-03-18,20773.431736915503,19011.158110181044,22750.988754904753
262,2013-03-19,19342.504004611535,17512.651413498257,21147.362662527707
262,2013-03-20,19133.23326161213,17185.751846845294,20985.370674967297
