Store,ABC_Class,XYZ_Class,Avg_Daily_Sales,Std_Daily_Sales,Total_Revenue,Days_In_Data,CV,Store_MAPE,Safety_Stock,Reorder_Point,EOQ_Days,Annual_SS_Cost,Current_SS,Current_SS_Cost,SS_Reduction,Annual_Cost_Saving,Inventory_Policy
1,B,Y,4817.498269896194,1064.3687712815974,2784514,578,0.2209380702703464,7.680674285329739,17780.948028256556,51503.43591752991,9.5,4445.237007064139,67444.97577854671,16861.243944636677,49664.02775029015,12416.006937572538,Standard + variability buffer. Fortnightly. 95% SL.
2,B,Y,4968.834482758621,1639.3966001629412,2881924,580,0.32993584428128775,7.680674285329739,19206.713574403537,53988.55495371389,9.4,4801.678393600884,69563.6827586207,17390.920689655173,50356.96918421716,12589.24229605429,Standard + variability buffer. Fortnightly. 95% SL.
3,A,Y,6985.557291666667,2268.7189022841767,4023681,576,0.32477278584353125,7.680674285329739,38085.68018772985,86984.58122939651,7.9,9521.420046932462,97797.80208333334,24449.450520833336,59712.12189560349,14928.030473900873,Safety stock + promo buffer. Weekly review. 99% SL.
4,A,Y,9602.565517241379,1983.873180259931,5569488,580,0.2065982446772055,7.680674285329739,49866.32436742377,117084.28298811341,6.8,12466.581091855942,134435.9172413793,33608.979310344825,84569.59287395552,21142.39821848888,Safety stock + promo buffer. Weekly review. 99% SL.
5,B,Y,4715.2226086956525,1817.906105632418,2711253,575,0.3855398263233421,7.680674285329739,18751.763038219557,51758.321299089126,9.6,4687.940759554889,66013.11652173914,16503.279130434785,47261.35348351958,11815.338370879896,Standard + variability buffer. Fortnightly. 95% SL.
6,A,Y,5725.092013888889,1611.6493728736205,3297653,576,0.281506283036816,7.680674285329739,30602.775353085744,70678.41945030796,8.7,7650.693838271436,80151.28819444444,20037.82204861111,49548.51284135869,12387.128210339673,Safety stock + promo buffer. Weekly review. 99% SL.
7,A,Y,8846.750859106529,2487.2663207253063,5148809,582,0.2811502618687406,7.680674285329739,47281.93901654291,109209.19503028861,7.0,11820.484754135727,123854.51202749141,30963.628006872852,76572.5730109485,19143.143252737125,Safety stock + promo buffer. Weekly review. 99% SL.
8,A,Y,5349.767241379311,1847.7970955577389,3102865,580,0.34539766165253355,7.680674285329739,29463.541734233873,66911.91242388905,9.0,7365.885433558468,74896.74137931035,18724.185344827587,45433.19964507647,11358.299911269118,Safety stock + promo buffer. Weekly review. 99% SL.
9,A,Y,6343.786458333333,1515.6879331981213,3654021,576,0.23892480353071804,7.680674285329739,33327.474404566135,77733.97961289946,8.3,8331.868601141534,88813.01041666666,22203.252604166664,55485.53601210052,13871.38400302513,Safety stock + promo buffer. Weekly review. 99% SL.
10,A,X,5520.587931034483,1063.595508998864,3201941,580,0.19265982578046914,7.680674285329739,28538.33752370191,67182.45304094329,8.9,7134.5843809254775,77288.23103448276,19322.05775862069,48749.89351078085,12187.473377695213,Lean automated reordering. Weekly cycle. 99% SL.
11,A,Y,8217.43275862069,2408.8495288136232,4766111,580,0.2931389400523617,7.680674285329739,44150.331180253386,101672.3604905982,7.3,11037.582795063347,115044.05862068964,28761.01465517241,70893.72744043625,17723.431860109064,Safety stock + promo buffer. Weekly review. 99% SL.
12,A,Y,7558.227586206896,2051.906369152754,4383772,580,0.27147983382999785,7.680674285329739,40229.074131636444,93136.66723508472,7.6,10057.268532909111,105815.18620689656,26453.79655172414,65586.11207526011,16396.52801881503,Safety stock + promo buffer. Weekly review. 99% SL.
13,C,Y,4992.381861575179,1638.2305535717055,2091808,419,0.32814608317137356,7.680674285329739,15026.30386058288,49972.97689160913,9.4,3756.57596514572,69893.3460620525,17473.336515513125,54867.04220146962,13716.760550367406,Min-max + buffer. Monthly review. 90% SL.
14,A,Y,5516.012152777777,1518.1646258414808,3177223,576,0.27522865863828033,7.680674285329739,29405.87108390428,68017.95615334871,8.9,7351.46777097607,77224.17013888888,19306.04253472222,47818.2990549846,11954.57476374615,Safety stock + promo buffer. Weekly review. 99% SL.
15,A,Y,6645.41724137931,1642.8441758823983,3854342,580,0.24721460161339887,7.680674285329739,35023.858868067415,81541.77955772259,8.1,8755.964717016854,93035.84137931034,23258.960344827585,58011.982511242924,14502.995627810731,Safety stock + promo buffer. Weekly review. 99% SL.
