Store,ABC_Class,XYZ_Class,Scenario,Avg_Daily_Demand,Safety_Stock,Carrying_Cost,Stockout_Cost,Total_Cost
1,B,Y,Base,4817.498269896194,16512.66408412434,4128.166021031085,0.0,4128.166021031085
2,B,Y,Base,4968.834482758621,17836.732265912484,4459.183066478121,0.0,4459.183066478121
3,A,Y,Base,6985.557291666667,35369.09518862345,8842.273797155862,0.0,8842.273797155862
4,A,Y,Base,9602.565517241379,46309.44660997306,11577.361652493266,0.0,11577.361652493266
5,B,Y,Base,4715.2226086956525,17414.23255628171,4353.558139070427,0.0,4353.558139070427
6,A,Y,Base,5725.092013888889,28419.93287671586,7104.983219178965,0.0,7104.983219178965
7,A,Y,Base,8846.750859106529,43909.40094900996,10977.35023725249,0.0,10977.35023725249
8,A,Y,Base,5349.767241379311,27361.958800668417,6840.489700167104,0.0,6840.489700167104
9,A,Y,Base,6343.786458333333,30950.283907264333,7737.570976816083,0.0,7737.570976816083
10,A,X,Base,5520.587931034483,26502.747789340257,6625.686947335064,0.0,6625.686947335064
11,A,Y,Base,8217.43275862069,41001.165226050565,10250.291306512641,0.0,10250.291306512641
12,A,Y,Base,7558.227586206896,37359.60458887765,9339.901147219412,0.0,9339.901147219412
13,C,Y,Base,4992.381861575179,13954.503870180577,3488.6259675451442,0.0,3488.6259675451442
14,A,Y,Base,5516.012152777777,27308.401697026235,6827.100424256559,0.0,6827.100424256559
15,A,Y,Base,6645.41724137931,32525.668232037635,8131.417058009409,0.0,8131.417058009409
16,A,Y,Base,7617.765217391305,37327.286265471506,9331.821566367877,0.0,9331.821566367877
17,A,Y,Base,6388.2923875432525,33669.52728940402,8417.381822351004,0.0,8417.381822351004
18,A,Y,Base,6468.392733564014,32055.451844698076,8013.862961174519,0.0,8013.862961174519
19,A,Y,Base,6396.692708333333,31870.276448140954,7967.5691120352385,0.0,7967.5691120352385
20,A,Y,Base,7615.057553956834,36871.75906883644,9217.93976720911,0.0,9217.93976720911
21,A,Y,Base,5432.466086956521,27591.614473530048,6897.903618382512,0.0,6897.903618382512
22,C,Y,Base,4486.244019138756,12136.21125345734,3034.052813364335,0.0,3034.052813364335
23,A,Y,Base,5522.598958333333,27614.470051058146,6903.6175127645365,0.0,6903.6175127645365
24,A,Y,Base,9273.647569444445,46086.15580869714,11521.538952174285,0.0,11521.538952174285
25,A,Y,Base,11213.145454545454,55472.85503892435,13868.213759731087,0.0,13868.213759731087
26,A,Y,Base,6642.321799307959,33454.77575009171,8363.693937522927,0.0,8363.693937522927
27,A,Y,Base,9438.776041666666,47565.17120110638,11891.292800276595,0.0,11891.292800276595
28,B,Y,Base,5487.922535211268,20539.796648713636,5134.949162178409,0.0,5134.949162178409
29,A,Y,Base,7129.383680555556,35708.13270746706,8927.033176866766,0.0,8927.033176866766
30,B,Y,Base,5532.116521739131,19416.03212127932,4854.00803031983,0.0,4854.00803031983
31,A,Y,Base,5894.634482758621,28736.310742519894,7184.0776856299735,0.0,7184.0776856299735
32,C,Y,Base,4054.761336515513,11284.73590313951,2821.1839757848775,0.0,2821.1839757848775
33,A,Y,Base,8444.696180555555,40840.55769194538,10210.139422986345,0.0,10210.139422986345
34,A,X,Base,8010.884482758621,38476.268706561794,9619.067176640448,0.0,9619.067176640448
35,A,Y,Base,9425.864583333334,47164.04945569982,11791.012363924954,0.0,11791.012363924954
36,A,X,Base,9275.730952380953,43888.18854288285,10972.047135720712,0.0,10972.047135720712
37,A,Y,Base,7220.979202772964,35698.35513922631,8924.588784806578,0.0,8924.588784806578
38,A,Y,Base,5968.149305555556,29951.592446432183,7487.898111608046,0.0,7487.898111608046
39,B,Y,Base,4743.743055555556,17394.166915088386,4348.541728772097,0.0,4348.541728772097
40,B,Y,Base,5096.371080139373,17505.17445154882,4376.293612887205,0.0,4376.293612887205
41,B,Y,Base,5135.497619047619,17853.23734270736,4463.30933567684,0.0,4463.30933567684
42,A,Y,Base,10119.159722222223,49487.80954765457,12371.952386913643,0.0,12371.952386913643
43,A,Y,Base,6940.883680555556,34574.52135373062,8643.630338432655,0.0,8643.630338432655
44,A,Y,Base,5535.527586206897,27628.246259848485,6907.061564962121,0.0,6907.061564962121
45,A,Y,Base,5357.140625,26285.03658851973,6571.259147129933,0.0,6571.259147129933
46,B,Y,Base,5335.928571428572,18946.758995234595,4736.689748808649,0.0,4736.689748808649
47,A,Y,Base,7056.044827586207,34593.404990224284,8648.351247556071,0.0,8648.351247556071
48,C,Y,Base,4017.305172413793,10762.699739653886,2690.6749349134716,0.0,2690.6749349134716
49,A,Y,Base,7244.2226086956525,35537.27944741071,8884.319861852677,0.0,8884.319861852677
50,B,Y,Base,4218.680555555556,14795.403797243951,3698.8509493109877,0.0,3698.8509493109877
51,B,Y,Base,6559.640476190476,22556.475303293966,5639.1188258234915,0.0,5639.1188258234915
52,A,Y,Base,7762.476190476191,38254.86906234795,9563.717265586987,0.0,9563.717265586987
53,B,Y,Base,5273.9034482758625,18558.02580506082,4639.506451265205,0.0,4639.506451265205
54,A,Y,Base,7926.44578313253,39178.66275752395,9794.665689380987,0.0,9794.665689380987
55,B,Y,Base,4433.366319444444,16082.221696856968,4020.555424214242,0.0,4020.555424214242
56,A,Y,Base,7075.652249134948,34579.98423844363,8644.996059610907,0.0,8644.996059610907
57,A,Y,Base,11052.81625441696,56804.564835468176,14201.141208867044,0.0,14201.141208867044
58,B,Y,Base,6067.7648456057,21249.795912464462,5312.4489781161155,0.0,5312.4489781161155
59,A,Y,Base,5509.51384083045,28281.344535371914,7070.336133842979,0.0,7070.336133842979
60,A,Y,Base,7864.53125,40154.69247158144,10038.67311789536,0.0,10038.67311789536
61,B,Y,Base,4646.6904347826085,16124.967022034754,4031.2417555086886,0.0,4031.2417555086886
62,A,Y,Base,6468.595486111111,32201.73954639185,8050.434886597963,0.0,8050.434886597963
63,A,Y,Base,6875.101724137931,33957.44012941696,8489.36003235424,0.0,8489.36003235424
64,A,Y,Base,10203.586805555555,50076.20376026014,12519.050940065035,0.0,12519.050940065035
65,B,Y,Base,5112.242634315425,18579.17937247866,4644.794843119665,0.0,4644.794843119665
66,A,X,Base,6089.598260869565,29250.219453687572,7312.554863421893,0.0,7312.554863421893
67,A,Y,Base,7745.224347826087,38504.81474453456,9626.20368613364,0.0,9626.20368613364
68,A,Y,Base,7584.898275862069,37331.19766949636,9332.79941737409,0.0,9332.79941737409
69,A,Y,Base,9550.636678200692,46633.57469197269,11658.393672993172,0.0,11658.393672993172
70,A,Y,Base,6603.062068965517,32515.970941521246,8128.992735380311,0.0,8128.992735380311
71,A,Y,Base,9093.720486111111,45336.97572976299,11334.243932440748,0.0,11334.243932440748
72,C,Y,Base,4429.9928741092635,12900.822180533565,3225.2055451333913,0.0,3225.2055451333913
73,B,Y,Base,4550.803448275862,16113.561338686326,4028.3903346715815,0.0,4028.3903346715815
74,A,Y,Base,6308.691637630662,31342.307848291293,7835.576962072823,0.0,7835.576962072823
75,A,Y,Base,6032.479310344827,29261.905634930634,7315.4764087326585,0.0,7315.4764087326585
76,A,Y,Base,8949.194774346794,43645.1449816771,10911.286245419275,0.0,10911.286245419275
77,A,Y,Base,7548.9602076124565,37171.502293695055,9292.875573423764,0.0,9292.875573423764
78,C,Y,Base,3701.1421143847488,10215.34265384712,2553.83566346178,0.0,2553.83566346178
79,A,Y,Base,5436.1686956521735,27051.964768515638,6762.9911921289095,0.0,6762.9911921289095
80,A,Y,Base,7548.579861111111,36788.08021358836,9197.02005339709,0.0,9197.02005339709
81,A,X,Base,6821.754761904762,32720.25385928448,8180.06346482112,0.0,8180.06346482112
82,A,Y,Base,8991.109375,45418.59628487549,11354.649071218873,0.0,11354.649071218873
83,C,Y,Base,3880.3298611111113,10421.101628390828,2605.275407097707,0.0,2605.275407097707
84,A,Y,Base,12893.491319444445,62832.15731043667,15708.039327609167,0.0,15708.039327609167
85,A,Y,Base,7236.558404558405,36458.77464299181,9114.693660747953,0.0,9114.693660747953
86,B,Y,Base,4719.170138888889,16702.579884059727,4175.644971014932,0.0,4175.644971014932
87,A,Y,Base,5903.027586206897,29430.96335521111,7357.740838802778,0.0,7357.740838802778
88,A,Y,Base,6038.060658578856,32095.12319634771,8023.780799086928,0.0,8023.780799086928
89,B,Y,Base,5929.8452380952385,20327.71161228576,5081.92790307144,0.0,5081.92790307144
90,A,Y,Base,8412.010434782609,41117.882231674266,10279.470557918567,0.0,10279.470557918567
91,A,Y,Base,5849.548611111111,29169.97825540132,7292.49456385033,0.0,7292.49456385033
92,A,Y,Base,5868.824652777777,29514.59445001953,7378.648612504882,0.0,7378.648612504882
93,A,Y,Base,5992.586805555556,30457.934831125338,7614.4837077813345,0.0,7614.4837077813345
94,A,Y,Base,7072.444444444444,35177.18139888491,8794.295349721227,0.0,8794.295349721227
95,A,Y,Base,7881.251736111111,39794.72002919773,9948.680007299432,0.0,9948.680007299432
96,B,Y,Base,5157.256944444444,19673.21145923346,4918.302864808365,0.0,4918.302864808365
97,A,Y,Base,6659.810763888889,33422.673170395916,8355.668292598979,0.0,8355.668292598979
98,B,Y,Base,5025.217013888889,17458.886755086885,4364.721688771721,0.0,4364.721688771721
99,C,Y,Base,4937.357142857143,13387.23954316377,3346.8098857909426,0.0,3346.8098857909426
100,A,Y,Base,7905.710396039604,38345.30577173206,9586.326442933016,0.0,9586.326442933016
101,A,Y,Base,7418.401724137931,36039.12755359879,9009.781888399697,0.0,9009.781888399697
102,A,Y,Base,7022.260563380281,35969.98466415434,8992.496166038585,0.0,8992.496166038585
103,C,Y,Base,4556.051522248244,12220.162444827807,3055.040611206952,0.0,3055.040611206952
104,A,X,Base,10085.341379310345,47733.35613641333,11933.339034103332,0.0,11933.339034103332
105,B,Y,Base,4351.599637681159,16215.478403842055,4053.8696009605137,0.0,4053.8696009605137
106,A,Y,Base,8648.436077057793,42467.31429843135,10616.828574607838,0.0,10616.828574607838
107,A,X,Base,7247.194827586207,34648.8102302621,8662.202557565524,0.0,8662.202557565524
108,A,Y,Base,10586.102380952381,50966.3076161407,12741.576904035175,0.0,12741.576904035175
109,A,Y,Base,6450.527586206897,31446.67998200443,7861.669995501107,0.0,7861.669995501107
110,B,Y,Base,4627.958620689656,16179.958163715008,4044.989540928752,0.0,4044.989540928752
111,A,Y,Base,6785.333910034602,33315.54622898427,8328.886557246067,0.0,8328.886557246067
112,A,X,Base,6205.879310344828,29454.465083874395,7363.616270968599,0.0,7363.616270968599
113,A,Y,Base,7732.640476190476,37427.02733488454,9356.756833721134,0.0,9356.756833721134
114,A,Y,Base,5367.120689655172,26232.217770050236,6558.054442512559,0.0,6558.054442512559
115,A,Y,Base,7154.271428571428,34691.03119877719,8672.757799694298,0.0,8672.757799694298
116,A,X,Base,7270.0915371329875,35020.33415531466,8755.083538828665,0.0,8755.083538828665
117,C,Y,Base,3898.3958333333335,10687.628652163043,2671.9071630407607,0.0,2671.9071630407607
118,A,Y,Base,7653.948186528497,38243.3102224961,9560.827555624024,0.0,9560.827555624024
119,A,Y,Base,6008.915517241379,29303.91345441465,7325.978363603663,0.0,7325.978363603663
120,A,Y,Base,7103.425605536332,34746.59172752055,8686.647931880138,0.0,8686.647931880138
121,B,Y,Base,4500.473958333333,16071.607141573546,4017.9017853933865,0.0,4017.9017853933865
122,A,Y,Base,6504.404255319149,33271.44986180804,8317.86246545201,0.0,8317.86246545201
123,A,Y,Base,8516.621238938053,44813.366665423506,11203.341666355876,0.0,11203.341666355876
124,B,Y,Base,4358.772569444444,15373.07617993946,3843.269044984865,0.0,3843.269044984865
125,A,Y,Base,11800.127586206896,57500.78760089378,14375.196900223445,0.0,14375.196900223445
126,A,Y,Base,6824.163194444444,37890.81205724602,9472.703014311504,0.0,9472.703014311504
127,B,Y,Base,5201.973871733967,18350.783715646972,4587.695928911743,0.0,4587.695928911743
128,A,Y,Base,7266.653979238754,36227.858389694426,9056.964597423606,0.0,9056.964597423606
129,A,Y,Base,9386.357142857143,45554.81816283102,11388.704540707755,0.0,11388.704540707755
130,B,X,Base,5095.700692041522,17276.635067270017,4319.158766817504,0.0,4319.158766817504
131,B,Y,Base,5332.513888888889,18534.24126619769,4633.560316549422,0.0,4633.560316549422
132,B,Y,Base,5944.121428571429,20487.861210744362,5121.965302686091,0.0,5121.965302686091
133,A,Y,Base,6552.887543252596,33478.90969804378,8369.727424510946,0.0,8369.727424510946
134,B,Y,Base,4752.481034482758,16225.89177237078,4056.472943092695,0.0,4056.472943092695
135,A,Y,Base,5890.977508650519,28690.351224307233,7172.587806076808,0.0,7172.587806076808
136,B,Y,Base,5536.02619047619,20013.224125997825,5003.306031499456,0.0,5003.306031499456
137,A,Y,Base,8212.778571428571,39635.08556174821,9908.771390437052,0.0,9908.771390437052
138,A,Y,Base,7307.416666666667,38059.17398896003,9514.793497240007,0.0,9514.793497240007
139,B,Y,Base,6428.233333333334,22414.641374724735,5603.660343681184,0.0,5603.660343681184
